Date,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,CBSA_NAME
2022-07-02,4.4,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-03,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-04,18.7,65,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-05,21.2,70,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-06,3.1,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-07,2.7,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-08,2.2,9,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-09,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-10,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-11,4.3,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-12,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-13,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-14,4.2,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-15,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-16,1.5,6,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-17,0.4,2,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-18,2.6,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-19,4.8,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-20,3.6,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-21,4.6,19,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-22,1.7,7,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-23,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-24,4.7,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-25,8,33,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-26,11.2,47,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-27,6.2,26,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-28,6.3,26,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-29,7.1,30,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-30,6.9,29,"Portland-Vancouver-Hillsboro, OR-WA"
2022-07-31,5.7,24,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-01,3.2,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-02,2.7,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-03,4.2,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-04,1.6,7,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-05,2.6,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-06,4.7,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-07,6.8,28,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-08,6.9,29,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-09,6.3,26,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-10,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-11,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-12,3.6,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-13,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-14,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-15,2.6,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-16,1.6,7,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-17,6.6,28,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-18,13.5,54,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-19,5.7,24,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-20,2.3,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-21,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-22,1.9,8,"Portland-Vancouver-Hillsboro, OR-WA"
2022-08-23,1.8,8,"Portland-Vancouver-Hillsboro, OR-WA"
